Year,Host City,Date,Winner,Song,Song duration,Performer(s),Songwriter(s),Language,Points,Runner(s)-up,Margin
1999,Jerusalem,29 May,Sweden,Take Me to Your Heaven,Unknown,Charlotte Nilsson,Lars DiedricsonMarcos Ubeda,English,163,Iceland,17
2000,Stockholm,13 May,Denmark,Fly on the Wings of Love,3:05,Olsen Brothers,Jørgen Olsen,English,195,Russia,40
2001,Copenhagen,12 May,Estonia,Everybody,3:00,"Tanel Padar, Dave Benton and 2XL",Ivar MustMaian-Anna Kärmas,English,198,Denmark,21
2002,Tallinn,25 May,Latvia,I Wanna,3:01,Marie N,Marija NaumovaMarats Samauskis,English,176,Malta,12
2003,Riga,24 May,Turkey,Everyway That I Can,2:34,Sertab Erener,Demir DemirkanSertab Erener,English,167,Belgium,2
2004,Istanbul,15 May,Ukraine,Wild Dances,3:00,Ruslana,Ruslana LyzhychkoAlexandr Ksenofontov,"English, Ukrainian",280,Serbia and Montenegro,17
2005,Kyiv,21 May,Greece,My Number One,2:58,Helena Paparizou,Christos DantisNatalia Germanou,English,230,Malta,38
2006,Athens,20 May,Finland,Hard Rock Hallelujah,4:09,Lordi,Mr Lordi,English,292,Russia,44
2007,Helsinki,12 May,Serbia,Molitva,3:03,Marija Šerifović,Vladimir GraićSaša Milošević Mare,Serbian,268,Ukraine,33
2008,Belgrade,24 May,Russia,Believe,3:54,Dima Bilan,Dima BilanJim Beanz,English,272,Ukraine,42
2009,Moscow,16 May,Norway,Fairytale,3:03,Alexander Rybak,Alexander Rybak,English,387,Iceland,169
2010,Oslo,29 May,Germany,Satellite,2:54,Lena,Julie FrostJohn Gordon ,English,246,Turkey,76
2011,Düsseldorf,14 May,Azerbaijan,Running Scared,2:59,Ell and Nikki,Stefan ÖrnSandra BjurmanIain James Farquharson,English,221,Italy,32
2012,Baku,26 May,Sweden,Euphoria,3:01,Loreen,Thomas G:sonPeter Boström,English,372,Russia,113
2013,Malmö,18 May,Denmark,Only Teardrops,3:03,Emmelie de Forest,Lise CabbleJulia Fabrin JakobsenThomas Stengaard,English,281,Azerbaijan,47
2014,Copenhagen,10 May,Austria,Rise Like a Phoenix,3:01,Conchita Wurst,Charlie MasonJoey PatulkaAli ZuckowskiJulian Maas,English,290,Netherlands,52
2015,Vienna,23 May,Sweden,Heroes,3:11,Måns Zelmerlöw,Anton Hård af SegerstadJoy DebLinnea Deb,English,365,Russia,62
2016,Stockholm,14 May,Ukraine,1944,3:00,Jamala,Jamala,"English, Crimean Tatar",534,Australia,23
2017,Kyiv,13 May,Portugal,Amar pelos dois,3:05,Salvador Sobral,Luísa Sobral,Portuguese,758,Bulgaria,143
2018,Lisbon,12 May,Israel,Toy,3:00,Netta,Doron MedalieStav Beger,English,529,Cyprus,93
2019,Tel Aviv,18 May,Netherlands,Arcade,3:04,Duncan Laurence,Duncan LaurenceJoel SjööWouter HardyWill Knox,English,498,Italy,26
2020,Contest cancelled due to the COVID-19 pandemic,Contest cancelled due to the COVID-19 pandemic,Contest cancelled due to the COVID-19 pandemic,Contest cancelled due to the COVID-19 pandemic,Unknown,Contest cancelled due to the COVID-19 pandemic,Contest cancelled due to the COVID-19 pandemic,Contest cancelled due to the COVID-19 pandemic,Contest cancelled due to the COVID-19 pandemic,Contest cancelled due to the COVID-19 pandemic,Contest cancelled due to the COVID-19 pandemic
2021,Rotterdam,22 May,Italy,Zitti e buoni,3:12,Måneskin,Damiano DavidEthan TorchioThomas RaggiVictoria De Angelis,Italian,524,France,25
